frame,type,id,x,y,z
0,pose,0,0.38775449991226196,0.41215780377388,-0.8403981924057007
0,pose,1,0.4186425805091858,0.3430037200450897,-0.8085229992866516
0,pose,2,0.4377698302268982,0.3419020473957062,-0.8084962964057922
0,pose,3,0.4560151994228363,0.3416420817375183,-0.8086977005004883
0,pose,4,0.36541101336479187,0.34500548243522644,-0.7901366353034973
0,pose,5,0.3516731560230255,0.3454650044441223,-0.7896638512611389
0,pose,6,0.3388199210166931,0.3469386398792267,-0.7898494601249695
0,pose,7,0.48716816306114197,0.36514416337013245,-0.49200114607810974
0,pose,8,0.33588260412216187,0.37075525522232056,-0.39087262749671936
0,pose,9,0.4253496527671814,0.4672184884548187,-0.7175797820091248
0,pose,10,0.3621421456336975,0.476645827293396,-0.6893825531005859
0,pose,11,0.6359718441963196,0.6913495659828186,-0.30920422077178955
0,pose,12,0.24340641498565674,0.6704019904136658,-0.19066768884658813
0,pose,13,0.7052119970321655,1.0458409786224365,-0.3715435564517975
0,pose,14,0.16526462137699127,0.9484653472900391,-0.2706082761287689
0,pose,15,0.6403557062149048,1.3108500242233276,-0.6461660861968994
0,pose,16,0.15457794070243835,1.2296597957611084,-0.9234849214553833
0,pose,17,0.6173568367958069,1.3749090433120728,-0.7516047358512878
0,pose,18,0.12394527345895767,1.3030509948730469,-1.0540621280670166
0,pose,19,0.5813192129135132,1.3392289876937866,-0.7468844652175903
0,pose,20,0.1528090089559555,1.2831132411956787,-1.126471757888794
0,pose,21,0.5783444046974182,1.317410945892334,-0.6584848761558533
0,pose,22,0.17456790804862976,1.2577699422836304,-0.9775872230529785
0,pose,23,0.5723782181739807,1.392466425895691,-0.08473558723926544
0,pose,24,0.30666452646255493,1.3848272562026978,0.08906398713588715
0,pose,25,0.5429208278656006,2.000558376312256,-0.05156350135803223
0,pose,26,0.2917991280555725,1.9787604808807373,0.10719175636768341
0,pose,27,0.5349822640419006,2.5374226570129395,0.5290537476539612
0,pose,28,0.3002617657184601,2.5096850395202637,0.5097426176071167
0,pose,29,0.5451803803443909,2.6144378185272217,0.5584505796432495
0,pose,30,0.30029749870300293,2.5866332054138184,0.5356020331382751
0,pose,31,0.4766070246696472,2.7095353603363037,0.01858484372496605
0,pose,32,0.32289403676986694,2.6801748275756836,-0.06091182306408882
1,pose,0,0.38767072558403015,0.4121912121772766,-0.859906017780304
1,pose,1,0.4184700846672058,0.3431156277656555,-0.8271291851997375
1,pose,2,0.437542200088501,0.34201768040657043,-0.8271175622940063
1,pose,3,0.45577844977378845,0.3417500853538513,-0.8272948265075684
1,pose,4,0.3654019236564636,0.3451050817966461,-0.8081134557723999
1,pose,5,0.35167521238327026,0.34555476903915405,-0.8076664805412292
1,pose,6,0.33882516622543335,0.34701472520828247,-0.807852566242218
1,pose,7,0.4870742857456207,0.3652114272117615,-0.5031260251998901
1,pose,8,0.3358812928199768,0.3708631098270416,-0.4016794264316559
1,pose,9,0.4252164363861084,0.467113196849823,-0.7345770597457886
1,pose,10,0.3621077239513397,0.4765091836452484,-0.7059513330459595
1,pose,11,0.6357750296592712,0.6910764575004578,-0.3068692088127136
1,pose,12,0.2436715066432953,0.6703497171401978,-0.19129276275634766
1,pose,13,0.7149152159690857,1.0456353425979614,-0.38996508717536926
1,pose,14,0.16516098380088806,0.9486082196235657,-0.29245132207870483
1,pose,15,0.6401941776275635,1.2877087593078613,-0.7008644938468933
1,pose,16,0.15658323466777802,1.2230995893478394,-1.0193027257919312
1,pose,17,0.6156259775161743,1.3452919721603394,-0.8097680807113647
1,pose,18,0.12706628441810608,1.2926157712936401,-1.1599822044372559
1,pose,19,0.5810983777046204,1.307709813117981,-0.8012557029724121
1,pose,20,0.1556544005870819,1.2679660320281982,-1.2276227474212646
1,pose,21,0.5782646536827087,1.289094090461731,-0.7119921445846558
1,pose,22,0.17724134027957916,1.245266079902649,-1.073684573173523
1,pose,23,0.5723217129707336,1.3924974203109741,-0.08425534516572952
1,pose,24,0.30634960532188416,1.3847620487213135,0.08868509531021118
1,pose,25,0.5424816608428955,2.0029709339141846,-0.05018506199121475
1,pose,26,0.29053327441215515,1.9795721769332886,0.10444368422031403
1,pose,27,0.5349672436714172,2.5407602787017822,0.5345944166183472
1,pose,28,0.2999396324157715,2.511268377304077,0.5081197619438171
1,pose,29,0.545229434967041,2.6178457736968994,0.5631733536720276
1,pose,30,0.3000214993953705,2.5874364376068115,0.53282630443573
1,pose,31,0.47708773612976074,2.7113397121429443,0.017419466748833656
1,pose,32,0.32308393716812134,2.6824913024902344,-0.06902778893709183
2,pose,0,0.38795900344848633,0.41236910223960876,-0.7842290997505188
2,pose,1,0.41847532987594604,0.3437543213367462,-0.7473481297492981
2,pose,2,0.4375067353248596,0.34274300932884216,-0.7473073601722717
2,pose,3,0.4556332528591156,0.34259888529777527,-0.7472077012062073
2,pose,4,0.36566880345344543,0.3457021415233612,-0.7351447343826294
2,pose,5,0.3520333468914032,0.34614065289497375,-0.7347099781036377
2,pose,6,0.33940333127975464,0.3477243185043335,-0.7349372506141663
2,pose,7,0.48653537034988403,0.36554232239723206,-0.43266406655311584
2,pose,8,0.33596137166023254,0.37145790457725525,-0.3606458604335785
2,pose,9,0.425224244594574,0.46720749139785767,-0.6618161797523499
2,pose,10,0.362449586391449,0.4765370190143585,-0.6423081755638123
2,pose,11,0.6348974108695984,0.689634382724762,-0.23524828255176544
2,pose,12,0.24352355301380157,0.6713252663612366,-0.15950891375541687
2,pose,13,0.7041580080986023,1.0115282535552979,-0.37778136134147644
2,pose,14,0.16708336770534515,0.9543647170066833,-0.2857927680015564
2,pose,15,0.5538427233695984,1.0997024774551392,-0.7134908437728882
2,pose,16,0.20114536583423615,1.2192401885986328,-0.9319412112236023
2,pose,17,0.5246190428733826,1.1852189302444458,-0.8198192715644836
2,pose,18,0.185912624001503,1.2863706350326538,-1.0636813640594482
2,pose,19,0.48784202337265015,1.0376344919204712,-0.784774661064148
2,pose,20,0.2138175517320633,1.2551008462905884,-1.1363332271575928
2,pose,21,0.4995417594909668,1.0141546726226807,-0.7135842442512512
2,pose,22,0.2296019345521927,1.2317219972610474,-0.9847380518913269
2,pose,23,0.5723547339439392,1.377997875213623,-0.07536608725786209
2,pose,24,0.30633777379989624,1.3774477243423462,0.08024265617132187
2,pose,25,0.5438290238380432,1.9852815866470337,-0.025932490825653076
2,pose,26,0.29405972361564636,1.9702669382095337,0.08353061228990555
2,pose,27,0.5392013788223267,2.5167243480682373,0.5314523577690125
2,pose,28,0.30770382285118103,2.499265432357788,0.4388295114040375
2,pose,29,0.5502129793167114,2.5932931900024414,0.5595653653144836
